CustomerID,Feedback
1,I loved the product!!! ğŸ˜ğŸ˜
2,BAD service... never again :(
3,Good quality - fast delivery.
4,"Excellent service, will buy again!"
5,good quality - fast delivery.
6,This is the WORST experience EVER!! ğŸ¤¢
7,I'm happy with the service.
8,
9,The product was okay... nothing special.
10,Iâ€™ll definitely recommend it! ğŸ’¯
11,"Amazing quality, but delivery was slow."
12,Support team didn't respond for 3 days.
13,I found the interface a bit confusing ğŸ˜•
14,"Fast checkout process, very convenient."
15,Product arrived broken and late.
16,Cheap material and poor stitching ğŸ˜¡
17,"Decent overall, but expected better."
18,Really fast delivery and great packaging.
19,Too expensive for what it offers.
20,Returning the item. Not satisfied.
21,Great product and super fast delivery!
22,Packaging was damaged but product fine.
23,I love it! I love it! I love it! â¤ï¸
24,App kept crashing on my phone ğŸ˜ 
25,Ordered twice and happy both times.
